Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Negative feedback from users: Hide all,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Negative feedback from users: Hide,Matched Audience Targeting Consumption (Video Click),publish_datetime,month
122147511734762707,61572881214141,Juan365,"🇵🇭 LABAN PILIPINAS! 🏀

Mark your calendars, mga Kababayan! 💪

📅 FIBA Asia Cup 2025 Schedule
🔥 August 6 – 🇵🇭 Philippines vs. Chinese Taipei
🔥 August 7 – 🇵🇭 Philippines vs. New Zealand
🔥 August 9 – 🇵🇭 Philippines vs. Iraq

Suportahan natin ang Gilas Pilipinas sa kanilang laban para sa bayan!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #TheResponsibleJuan",,0,08/04/2025 22:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid042JbJwrXPsAVtmDLZXNmUWdY7zpNzTQDjeVcbfjU3YVe1DcHZAHx47U9eihVYWx1l,0,0,Photos,,,,,Lifetime,57940.0,30505.0,432.0,312.0,101.0,19.0,,307.0,207.0,100.0,,0.0,,,,,,2025-08-04 22:00:00,2025-08
122153053772762707,61572881214141,Juan365,"Monday made better! Claim your cashback na, Juankada! 

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Monday made better! Claim your cashback na, Juankada! 

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",11,08/31/2025 21:30,,https://www.facebook.com/Juan365officialpage/videos/766573776272331/,1,0,Videos,,,,,Lifetime,22724.0,22510.0,931.0,497.0,390.0,44.0,,1305.0,1304.0,,1.0,0.0,70864.783,3.836,0.0,,,2025-08-31 21:30:00,2025-08
122153032118762707,61572881214141,Juan365,"Juankada, bagong buwan na naman!  Say hello to September and hello to more fun! 🎉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Juankada, bagong buwan na naman!  Say hello to September and hello to more fun! 🎉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",12,08/31/2025 18:00,,https://www.facebook.com/Juan365officialpage/videos/1071268751830956/,1,0,Videos,,,,,Lifetime,30217.0,27868.0,912.0,545.0,305.0,62.0,,647.0,646.0,,1.0,0.0,72884.518,2.776,0.0,,,2025-08-31 18:00:00,2025-08
122152964888762707,61572881214141,Juan365,"Marami ang marunong maglaro, pero si Juan, marunong magpigil.
Kalmado, kalkulado, kampante.
🎮 Play smart. Play safe.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,08/31/2025 08:01,,https://www.facebook.com/Juan365officialpage/posts/pfbid0qDM4cyVaGSy9LVHt1gESdBtvEbHoLpTUN3suPPk5wzADsALW5DDTRpGJqPXNEWWAl,0,0,Photos,,,,,Lifetime,147989.0,74916.0,1125.0,656.0,402.0,67.0,24.0,3650.0,3124.0,524.0,2.0,2.61,,,,13.0,,2025-08-31 08:01:00,2025-08
122152937420762707,61572881214141,Juan365,"Parang agila sa himpapawid, hatid ni Fortuna Arara ang swerte na malayo ang lipad! Play it now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan","Parang agila sa himpapawid, hatid ni Fortuna Arara ang swerte na malayo ang lipad! Play it now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",23,08/31/2025 05:02,,https://www.facebook.com/Juan365officialpage/videos/1327857819033064/,1,0,Videos,,,,,Lifetime,11942.0,13772.0,586.0,375.0,184.0,27.0,,399.0,398.0,,1.0,0.02,41132.715,4.087,0.0,,,2025-08-31 05:02:00,2025-08
122152900082762707,61572881214141,Juan365,"Not one, but TWO! Bagong wallpapers para sa’yo, Juankada! Thank me later! 😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JamesReid",,0,08/31/2025 01:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid02rLYVFWXmEMp15ARNtWptmhzTaqTrNjEmc72P6t9SYn2FvWLdbosEaTcvXUoXS4gWl,0,0,Photos,,,,,Lifetime,83954.0,40899.0,810.0,481.0,282.0,47.0,11.0,1228.0,970.0,253.0,5.0,1.21,,,,3.0,,2025-08-31 01:00:00,2025-08
122152869716762707,61572881214141,Juan365,"Be part of the Juan365 Official FB Community Group and connect with everyJuan! 10 Juankada ang may chance magkaroon ng total of 3,000 worth of free Juan365 credits! 
💙 Pag umabot ng 5K shares itong post, may additional 10 Juankada pa na mapipili!

Mechanics:
1️⃣ Join the Juan365 Official Group 
2️⃣ Follow both Juan365  and Juan365 Cares 
3️⃣ Comment your User ID and attach a screenshot showing you’ve completed all steps
4️⃣ Tag 3 friends and invite them to join the community

Makisaya, makikulitan, at sumama sa mga community events kasama ang Juankada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,08/30/2025 21:30,,https://www.facebook.com/Juan365officialpage/posts/pfbid0F1Ksmsapjcaij6qT7qRTBGuYFKw3uTAA9La7ciAQZoeC2ZCtjqgNLX38sHK7483jl,0,0,Photos,,,,,Lifetime,116464.0,63288.0,3055.0,1163.0,1354.0,538.0,3.0,4217.0,3633.0,578.0,6.0,2.04,,,,4.0,,2025-08-30 21:30:00,2025-08
122152830092762707,61572881214141,Juan365,"First time sa Juan365? May 36.5 bonus agad!

Just follow these steps:
✅ Bind your number
⬇️ Download the Juan365 app
👍 Like our FB page
🆔 Complete your KYC

Bonus na ‘yan, walang hassle!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","First time sa Juan365? May 36.5 bonus agad!

Just follow these steps:
✅ Bind your number
⬇️ Download the Juan365 app
👍 Like our FB page
🆔 Complete your KYC

Bonus na ‘yan, walang hassle!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",12,08/30/2025 18:00,,https://www.facebook.com/Juan365officialpage/videos/2861485304049489/,1,0,Videos,,,,,Lifetime,18285.0,16331.0,651.0,399.0,208.0,44.0,,505.0,495.0,,10.0,0.0,59703.62,4.116,0.0,,,2025-08-30 18:00:00,2025-08
122152770596762707,61572881214141,Juan365,"STOP! Don’t Get Scammed! 🚫
Makipag-usap lang sa Juan365 Live Chat o Juan365 Official Page.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanAlert","STOP! Don’t Get Scammed! 🚫
Makipag-usap lang sa Juan365 Live Chat o Juan365 Official Page.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanAlert",10,08/30/2025 08:01,,https://www.facebook.com/Juan365officialpage/videos/1121587333400740/,1,0,Videos,,,,,Lifetime,44901.0,38985.0,991.0,632.0,305.0,54.0,,604.0,602.0,,2.0,0.0,122018.817,3.284,0.0,,,2025-08-30 08:01:00,2025-08
122152735652762707,61572881214141,Juan365,"Narinig n’yo na kay James Reid! 
Follow Juan365 para lagi kang updated sa mga promos, events, at pa-surprises! 💙

Play Responsibly, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Narinig n’yo na kay @[100079635633924:2048:James Reid]! 
Follow @[61572881214141:2048:Juan365] para lagi kang updated sa mga promos, events, at pa-surprises! 💙

Play Responsibly, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",24,08/30/2025 02:53,uploaded,https://www.facebook.com/reel/1481551416525351/,0,0,Reels,,,,,Lifetime,26309.0,28704.0,1205.0,872.0,269.0,64.0,,568.0,567.0,,1.0,0.11,108207.536,4.692,0.0,,,2025-08-30 02:53:00,2025-08
