Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Negative feedback from users: Hide all,Estimated earnings (USD),Negative feedback from users: Hide,Matched Audience Targeting Consumption (Video Click)
1.22166E+17,6.15729E+13,Juan365,"Sasagutin mo ba yan Juankada? Si Juan na yan!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/13/2025 6:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0gECJScFxFKuCsHvMAYGvzoszqBM6W4CLwaMgfatPZ3wTgmNAZsoUrJeE1YogMQNol,0,0,Photos,,,,,Lifetime,35021,20109,941,504,347,90,1143,150,980,13,0.36,,,7,,,
1.22166E+17,6.15729E+13,Juan365,"Dalhin ang saya kahit saan! Download Juan365 App now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Dalhin ang saya kahit saan! Download Juan365 App now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,11/13/2025 16:00,N/A,https://www.facebook.com/reel/811391055076040/,1,0,Videos,,,,,Lifetime,20970,18914,475,288,129,58,180,,179,1,0.01,47006.598,2.511,,0,,
1.22166E+17,6.15729E+13,Juan365,"Juankada, 6 Fridays na lang at Pasko na! Pero si Juan, hindi na makapaghintay — tuloy-tuloy ang pa-surpresa!

How To Join:
1️⃣ Like & Follow JuanSports  ( https://www.facebook.com/JuanSportsOfficial )
2️⃣ Share this post and mention Juan365  and JuanSports as your caption and don’t forget to use #Juan365 #AllInJuanSaSaya 
3️⃣ Comment your Juan365 User ID below at i-attach ang screenshot bilang proof na nagawa mo ang steps (Like + Follow + Share)

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/13/2025 20:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid06nx9yqRuBqJi3zqvMbh3PasHwHFwesRHQeqC5znhV3CMG2SgjFQ8svEe2AG5aWoXl,0,0,Photos,,,,,Lifetime,23183,13253,829,369,252,208,733,73,630,30,0.21,,,2,,,
1.22166E+17,6.15729E+13,Juan365,,,0,11/13/2025 23:43,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0qtSgEJ3nnFyVEH65weP5aXDZGmvKbJ57tobDhueqsmGhoXRufy9SpppA7rzbBsvxl,0,1,Live,,,,,Lifetime,,5152,170,144,26,0,482,,482,,0,,,,,,
1.22166E+17,6.15729E+13,Juan365,"Nag uunahan kay Juan? 🤭 Alam mo ba ang sagot, Juankada?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/14/2025 0:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0V94H76dB5YJRXTFtxgfyo7PqSv2Wh6ZqRFSPeCgCWXCEkLrHfhULQTSte43wuuyFl,0,0,Photos,,,,,Lifetime,29366,17043,706,304,323,79,837,99,738,,0.26,,,4,,,
1.22166E+17,6.15729E+13,Juan365,"Ikaw ang hinihintay ng rewards! Claim mo na, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Ikaw ang hinihintay ng rewards! Claim mo na, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,11/14/2025 4:01,N/A,https://www.facebook.com/reel/834845019161249/,1,0,Videos,,,,,Lifetime,37430,34997,791,432,250,109,447,,445,2,0.01,73174.248,2.183,,0,,
1.22166E+17,6.15729E+13,Juan365,"Spin, play, and enjoy our November Favorites — basta laro, Juan365 ang bahala! 💪🎰

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/14/2025 16:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02tQ24bza72TioGErmv9PTFvo4o4mjFK3icso2P2XczgbRvSuwxbpFnd1YFQdM2nLJl,0,0,Photos,,,,,Lifetime,24703,13184,502,256,160,86,1168,134,588,446,0.25,,,4,,,
1.22166E+17,6.15729E+13,Juan365,"Huwag mo na ipagpabukas ang saya, Juankada! Baka maunahan ka pa — download Juan365 App today!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/14/2025 20:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0QAR3ngVwEfFfefMi7SwpyeMvTWYXWkYGkGbthk2z5BBWwyJ5KG38xuDVtuBqNZtBl,0,0,Photos,,,,,Lifetime,27541,15903,571,251,261,59,1215,194,669,352,0.25,,,,,2,
1.22166E+17,6.15729E+13,Juan365,"Follow JuanSports ang bagong tambayan ng mga solid fans pagdating sa fresh, fast, at legit Sports Updates!

Like, Follow, and Share para lagi kang game-Ready.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/14/2025 21:53,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0jo3FUTj6aQJwaVyr8A1q4Zb5SbCgxjEmUSWcSXXQDxg6KzFXoUc5L18LrfZnesbxl,0,1,Photos,,,,,Lifetime,26571,15136,160,97,49,14,446,66,380,,0,,,1,,1,
1.22167E+17,6.15729E+13,Juan365,,,0,11/14/2025 23:46,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid022EZ1JigGLKdfRYjLR2dKion88U4cXcSyCzpyoQEZxQLVP4QP8DSeCx78T63YbGBrl,0,1,Live,,,,,Lifetime,,4090,114,97,17,0,248,,248,,0,,,,,,
