post_id,created_time,date,message,permalink,likes,comments,shares,reactions,total_engagement
580104038511364_122169575834762707,2025-12-04T04:00:10+0000,2025-12-04,"Fill your heart with joy and cheer! ✨
Juankada, share your holiday cheer, comment your Christmas emoji of the day!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan36",https://www.facebook.com/122169588380762707/posts/122169575834762707,0,0,31,0,31
580104038511364_122169552842762707,2025-12-04T01:00:13+0000,2025-12-04,"I-comment mo na ang wish mo and tag a Juankada! Baka wish granted vibes na ‘to!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #Juan",https://www.facebook.com/122169588380762707/posts/122169552842762707,0,0,302,0,302
580104038511364_122169476426762707,2025-12-03T12:00:19+0000,2025-12-03,"Hindi lang mga bagay ang pwedeng maipon — minsan mahalaga rin ang growth at learnings.
Ikaw, anong naipon mo ngayong 2025?
👉 Drop your answer in the comments!

Huwag pahuli—join the fun with Juan! Mes",https://www.facebook.com/122169588380762707/posts/122169476426762707,0,0,250,0,250
580104038511364_122169463274762707,2025-12-03T09:52:35+0000,2025-12-03,"Huwag pahuli sa saya, JuanKada! 🔥❤️

React HEART tapos SHARE mo na ‘to — sama ka na sa JuanSports bago ka ma-late!

#Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",https://www.facebook.com/122169588380762707/posts/122169463274762707,0,0,27,0,27
580104038511364_122169451364762707,2025-12-03T08:29:09+0000,2025-12-03,"LIVE NA ULIT TAYO JUANKADA! Ready na ba kayo sa solid na kulitan at walang humpay na action? Tara, sama na! 🥳

#Juan365PH #Juan365 #JuanKada #AllInJuanSaSaya #Juan365livestream",https://www.facebook.com/122169588380762707/posts/122169451364762707,0,0,72,0,72
580104038511364_122169446516762707,2025-12-03T08:01:14+0000,2025-12-03,"Game, Juankada — anong hair ang na-align mo today? 😂 Pakita mo sa comments + User ID!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya",https://www.facebook.com/reel/1166267379004351/,0,0,87,0,87
580104038511364_122169438830762707,2025-12-03T06:59:55+0000,2025-12-03,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/872561911799935/,0,0,40,0,40
580104038511364_122169419582762707,2025-12-03T04:01:55+0000,2025-12-03,"🔥 2 DAYS TO GO! 🔥

Kasali ka na ba sa Surpresa ni Juan? 🤩

Comment mo naman kung ano ang pinaka minamanifest mong papremyo ni Juan! 

Kung ‘di ka pa kasali, sumali na at maki-saya sa ultimate surprise",https://www.facebook.com/reel/1349896946783836/,0,0,120,0,120
580104038511364_122169403778762707,2025-12-03T01:00:06+0000,2025-12-03,"May your days be merry and bright! ✨
Spread the good vibes, i-tag ang Juankada na nagpapasaya sa iyong holidays! 🎄

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan36",https://www.facebook.com/122169588380762707/posts/122169403778762707,0,0,349,0,349
580104038511364_122169341474762707,2025-12-02T13:26:33+0000,2025-12-02,"Juankada, papalapit na talaga ang Surpresa ni Juan! 🎉🔥

Gusto naming makita kung sino-sino na ba ang ready na ready na! Comment ‘𝐑𝐞𝐚𝐝𝐲 𝐧𝐚 𝐚𝐤𝐨!’ + 𝐮𝐬𝐞𝐫 𝐈𝐃 kung handa ka nang manalo sa surpresa ni Juan!",https://www.facebook.com/reel/847756388057154/,0,0,144,0,144
